producto,marca,precio_eur,precio_inr,cpu,ram_gb,almacenamiento_gb,gpu,tamanio_pantalla,sistema_operativo,warranty,spec_rating
Victus 15-fb0157AX Gaming Laptop,HP,598.8,49900,TH GEN AMD RYZEN 5 5600H,8,512,AMD RADEON RX 6500M,15.6,Windows 11 OS,1,73.0
15s-fq5007TU Laptop,HP,478.8,39900,TH GEN INTEL CORE I3 1215U,8,512,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,60.0
One 14 Z8-415 Laptop,Acer,323.88,26990,TH GEN INTEL CORE I3 1115G4,8,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Yoga Slim 6 14IAP8 82WU0095IN Laptop,Lenovo,716.75,59729,TH GEN INTEL CORE I5 1240P,16,512,INTEL INTEGRATED IRIS XE,14.0,Windows 11 OS,1,66.0
MacBook Air 2020 MGND3HN Laptop,Apple,839.88,69990,APPLE M1,8,256,APPLE M1 INTEGRATED GRAPHICS,13.3,Mac OS,1,69.32352941176471
Extensa EX214-53 Laptop,Acer,479.88,39990,TH GEN INTEL CORE I5 1240P,8,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,62.0
Inspiron 3520 D560896WIN9B Laptop,Dell,441.48,36790,TH GEN INTEL CORE I3 1215U,8,512,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,60.0
Nitro V ANV15-51 2023 Gaming Laptop,Acer,923.88,76990,TH GEN INTEL CORE I5 13420H,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,63.0
Vivobook 15 X1502ZA-EJ523WS Laptop,Asus,587.88,48990,TH GEN INTEL CORE I5 12500H,8,512,INTEL IRIS XE,15.6,Windows 11 OS,1,64.0
Galaxy Book2 Pro 13 Laptop,Samsung,899.88,74990,TH GEN INTEL CORE I5 1240P,16,512,INTEL IRIS XE GRAPHICS,13.3,Windows 11 OS,1,68.0
V15 G3 IAP 82TTA08AIN Laptop,Lenovo,599.88,49990,TH GEN INTEL CORE I7 1255U,16,512,INTEL INTEGRATED UHD,15.6,Windows 11 OS,1,69.32352941176471
Pro NU14U3INC43BN-CS Laptop,Ultimus,131.88,10990,INTEL CELERON N4020,4,128,INTEL INTEGRATED UHD GRAPHICS,14.1,Windows 11 OS,1,69.32352941176471
