nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,precio_actual_num,precio_original_num,descuento_pct,fecha_extraccion,anio,mes,dia
"Ordenador portátil 14 pulgadas Dual-Core hasta 2,6 GHz • 6 GB RAM • 128 GB SSD • UHD portatil • WiFi 5G • Mini-HDMI • Teclado membrana • Diseño sin ventilador • Color plateado • Ratón incluido","205,.99",,,"4,1 de 5 estrellas",Amazon,2026-04-20 23:20,205.99,,,2026-04-20 23:20:00,2026,4,20
"2026 Ordenador portátil 15.6 Pulgadas pc portátil 5025U, 8GB RAM 128GB SSD DDR4, Lector Huellas dactilares, 5G WiFi USB 3.0, 1920 x 1080 IPS FHD, 5000 mAh, Teclado Completo retroiluminado/Panel táctil","209,.99",,,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20,209.99,,,2026-04-20 23:20:00,2026,4,20
"PINSTONE Ordenador Portátil de 14 Pulgadas Celeron N4000, Computadora Portátiles 6 GB RAM 128 GB SSD, PC Portátiles con 2,4 G/5 G WiFi, Bluetooth, Estudiantil Laptop Larga Vida útil de la Batería.","214,.00",,,"4,8 de 5 estrellas",Amazon,2026-04-20 23:20,214.0,,,2026-04-20 23:20:00,2026,4,20
"BMAX Ordenador Portátil 15.6"" FHD Celeron N95 Upto 3,4 GHz Portatiles 12GB RAM 512GB SSD LPDDR5 Laptop, Win 11 PC Portátil 5G WiFi Notebook BT5.0, USB 3.2x2, Protege el Teclado Español","256,.49","289,99 €",,"4,6 de 5 estrellas",Amazon,2026-04-20 23:20,256.49,289.99,11.55,2026-04-20 23:20:00,2026,4,20
"ASUS Chromebook CX1505CTA - Ordenador Portátil 15.6"" Full HD (Intel N50, 4GB RAM, 128GB eMMC, ChromeOS) QWERTY Funda y ratón incluidos +3 Meses de Google AI Pro con Gemini Pro y 2TB de Almacenamiento","259,.00",,,"4,2 de 5 estrellas",Amazon,2026-04-20 23:20,259.0,,,2026-04-20 23:20:00,2026,4,20
"FUNYET Ordenador Portátil, 16 GB de RAM y 256 GB de SSD,Nuevo Laptop de 15,6 Pulgadas de 2026, Pentium Gold 4425Y Portátil,IPS FHD 1920 x 1080,5000 mAh，Teclado numérico，WiFi5","261,.72","275,49 €",,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20,261.72,275.49,5.0,2026-04-20 23:20:00,2026,4,20
"15.6 Pulgadas Ordenador Portatil, Procesador N95 hasta 3.4 GHz, Portatil con 16GB RAM 512GB SSD, 1920 * 1080 IPS FHD Pantalla Laptop, BT5.0, USB 3.2, HDMI y Tipo C, WIFI5.0","289,.99",,,"4,3 de 5 estrellas",Amazon,2026-04-20 23:20,289.99,,,2026-04-20 23:20:00,2026,4,20
"HP 15-fd0261ns - Ordenador portátil de 15.6"" FHD (Intel N100, 4GB RAM, 128GB UFS, Intel UHD, Windows 11) Plata - Teclado QWERTY Español - Incluye Microsoft 365 Personal 12 Meses","299,.00","349,00 €",,"4,2 de 5 estrellas",Amazon,2026-04-20 23:20,299.0,349.0,14.33,2026-04-20 23:20:00,2026,4,20
"Ordenador Portáti 15,6 Pulgadas, PC Portátil Win 11 8GB RAM 256GB SSD, Laptop con Core M3 6Y30 Procesador, Computadora Portatil Delgada Pantalla FHD abatible de 180° Mini-HDMI 2*USB3.0 WiFi5 BT4.2","299,.99",,,"4,3 de 5 estrellas",Amazon,2026-04-20 23:20,299.99,,,2026-04-20 23:20:00,2026,4,20
"HP EliteBook 840 G6, FHD, Intel Core i5 8265U, 16 GB RAM, 512 GB SSD, Intel UHD Graphics, Windows 11 (Reacondicionado) Bolsa Cybersnap","319,.00",,,"3,5 de 5 estrellas",Amazon,2026-04-20 23:20,319.0,,,2026-04-20 23:20:00,2026,4,20
"2026 Ordenador portátil 16GB RAM, SSD 256GB,15,6 Pulgadas, procesador M3-6Y30 (2,2 GHz), Pantalla FHD 1920x1080 píxeles, cámara Web y Panel táctil, Ideal para Estudiantes y Profesionales","349,.99","999,99 €",,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20,349.99,999.99,65.0,2026-04-20 23:20:00,2026,4,20
"PC Portátil Win 11, 15.6 Pulgadas Ordenador Portatil 24GB LPDDR4 RAM 512GB SSD, Celeron N5095 CPU, Desbloqueo Huellas Dactilares/Teclado Retroiluminado, 180° Flip IPS Pantalla, Webcam+BT4.2+USB3.0","349,.99",,,"5,0 de 5 estrellas",Amazon,2026-04-20 23:20,349.99,,,2026-04-20 23:20:00,2026,4,20
