nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha
"Portátil Alurin Flex Advance AMD Ryzen 7-5825U 15.6""/ 16GB/500GB/Windows 11 Home","489,99€","644,99€",,,PcComponentes,2026-03-30 12:50
"PcCom Revolt 5070 Intel Core i7-14650HX 16""/QHD /32GB/1TB/Windows 11 Home","1.658,99€","2.079,99€",,,PcComponentes,2026-03-30 12:50
"Portátil Lenovo LOQ 15IRX10 15.6"" Intel Core i7-13700HX 32GB 1TB SSD RTX 5060 8GB Luna Grey RGB e-Shutter",1.149€,1.499€,,,PcComponentes,2026-03-30 12:50
"Portátil Lenovo Legion 5 15AHP10 15.1"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 OLED Negro",1.289€,1.699€,,,PcComponentes,2026-03-30 12:50
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/256GB SSD/GPU 8 Núcleos/13.6"" Azul Cielo",899€,1.179€,,,PcComponentes,2026-03-30 12:50
"Portátil Lenovo IdeaPad Slim 3 15AMN8 15,6"" AMD Ryzen 5 7520U 16GB 512GB SSD Azul",429€,499€,,,PcComponentes,2026-03-30 12:50
"Lenovo IdeaPad Slim 3 Gen 8 15IRH8 Intel Core i5-13420H/16GB/1TB SSD/15.6""",549€,649€,,,PcComponentes,2026-03-30 12:50
"Portátil Lenovo Legion Pro 5 16IRX10 16"" Intel Core i9-14900HX 32GB 1TB SSD RTX 5070",1.799€,2.199€,,,PcComponentes,2026-03-30 12:50
"Portátil HP 15-fd0278ns 15.6"" Intel Core i5-1334U 16GB RAM 512GB SSD FHD Plata Windows 11",579€,649€,,,PcComponentes,2026-03-30 12:50
"MSI Vector 16 HX AI A2XWHG-097XES Intel Core Ultra 7 255HX 32GB 1TB SSD RTX 5070 Ti 16""",1.899€,2.699€,,,PcComponentes,2026-03-30 12:50
"ASUS Vivobook Go 15 E1504FA-BQ2447 AMD Ryzen 5 7520U/16GB/512GB SSD/15.6""","444,99€",499€,,,PcComponentes,2026-03-30 12:50
"Portátil Lenovo LOQ Essential 15IRX11 15.6"" Intel Core i5-13450HX 16GB 512GB SSD RTX 5050 FreeDOS",869€,999€,,,PcComponentes,2026-03-30 12:50
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/256GB SSD/GPU 8 Núcleos/13.6"" Plata",899€,1.179€,,,PcComponentes,2026-03-30 12:50
"ASUS V16 V3607VM-RP010 Intel Core 7 240H/32GB/1TB SSD/RTX 5060/16""",1.229€,1.399€,,,PcComponentes,2026-03-30 12:50
"MSI Cyborg 15 B2RWFKG-201XES Intel Core 7 240H 32GB DDR5 1TB SSD RTX 5060 15.6"" FHD RGB",1.299€,1.999€,,,PcComponentes,2026-03-30 12:50
"Apple Macbook Air Apple M4 10 Núcleos/16 GB/512GB SSD/GPU 10 Núcleos/13.6"" Medianoche",1.079€,1.429€,,,PcComponentes,2026-03-30 12:50
Portátil HP 15-fd0282ns Intel Core i7-1355U 16GB 1TB SSD Iris Xe Graphics Windows 11 Home Plata,779€,849€,,,PcComponentes,2026-03-30 12:50
"Portátil HP Victus 15-fa2012ns Intel Core i5-13420H 13ª 16GB 512GB SSD RTX 4050 15.6""",849€,1.099€,,,PcComponentes,2026-03-30 12:50
Acer Aspire Go 15 AG15-42P-R26T 15.6″ AMD Ryzen 7 5825U 16GB 512GB SSD FHD Wi-Fi 6 Plata,459€,549€,,,PcComponentes,2026-03-30 12:50
"Portátil Lenovo Yoga Slim 7 14IMH9 14"" Intel Core Ultra 7 32GB 1TB SSD OLED Luna Grey",999€,1.199€,,,PcComponentes,2026-03-30 12:50
Portátil ASUS ExpertBook P1503CVA-S70671 15.6″ i5-13420H 16GB 512GB Gris WiFi 6 UHD Teclado ES,529€,"491,99€",,,PcComponentes,2026-03-30 12:50
"Portátil Lenovo V15 15.6"" Intel Core i3-1315U 8GB 512GB SSD FreeDOS",359€,2.349€,,,PcComponentes,2026-03-30 12:50
"Portátil MSI Cyborg 17 B2RWGKG-075XES 17.3"" Intel Core 9 270H 32GB 1TB SSD RTX 5070 QHD RGB",1.649€,1.499€,,,PcComponentes,2026-03-30 12:50
"HP Victus 15-fa2005ns 15.6"" Intel Core 7 240H 16GB 1TB SSD RTX 5060",1.099€,999€,,,PcComponentes,2026-03-30 12:50
"Portátil ASUS Vivobook 15 F1504VA-BQ255 15.6"" Intel Core 7 150U 16GB 1TB SSD Quiet Blue Sin SO",649€,2.499€,,,PcComponentes,2026-03-30 12:50
